restaurant_name,city_id,restaurant_id,province_id,average_price,average_score,restaurant_type,Beijing,Tianjin,Hebei,Shanxi,Nei Mongol,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi2,Gansu,Qinghai,Ningxia,Xinjiang,not-spicy,slightly-spicy,medium-spicy,extra-spicy,child,teenager,adult,middle-ager,elderly,breakfast,lunch,dinner,afternoon-tea,night-snack,male,female,price,is_chain,image_name
衡厨,5,4,18,57,4.8,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,0,1,1,1,2,3,3,3,2,2,3,3,2,2,3,3,4,0,5-4.jpg
茶颜悦色,5,5,18,18,4.3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,4,4,4,2,2,3,3,5,2,3,4,2,0,5-5.jpg
老长沙湘菜,5,6,18,47,3.7,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,0,1,1,1,2,3,3,3,2,2,3,3,2,2,3,3,4,0,5-6.jpg
小李口味鸡,5,7,18,59,4.2,1,3,3,3,3,3,2,2,2,3,3,3,3,3,3,4,4,4,4,2,2,2,4,4,4,3,3,3,3,2,2,2,1,0,0,0,1,3,3,3,2,1,3,3,2,1,3,3,3,0,5-7.jpg
新芙蓉湖南菜,5,8,18,61,4.8,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,0,1,1,1,2,3,3,3,2,2,3,3,2,2,3,3,4,0,5-8.jpg
细陀袁记长沙菜,5,9,18,55,4.5,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,0,1,1,1,2,3,3,3,2,2,3,3,2,2,3,3,4,0,5-9.jpg
彭耕记猪油炒小菜,5,10,18,38,4.7,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,0,0,0,1,3,3,3,1,1,2,2,3,3,3,3,2,0,5-10.jpg
玉楼东,5,11,18,50,4.6,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,0,1,1,1,2,3,3,3,2,2,3,3,2,2,3,3,4,0,5-11.jpg
刘氏老坛湘菜馆,5,12,18,54,4.5,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,0,1,1,1,2,3,3,3,2,2,3,3,2,2,3,3,4,0,5-12.jpg
黑白电视长沙小吃,5,13,18,29,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,3,1,1,3,3,4,4,3,3,2,0,5-13.jpg
灌溪村·永州百年血鸭,5,14,18,58,4.6,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,0,1,1,1,2,3,3,3,2,2,3,3,2,2,3,3,4,0,5-14.jpg
KFC,5,15,18,36,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,5-15.jpg
必胜客,5,16,18,66,4.1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,5-16.jpg
麦当劳,5,17,18,34,3.7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,5-17.jpg
如意馄饨,5,18,18,26,3.6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,5-18.jpg
喜茶,5,19,18,23,3.9,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,5-19.jpg
